,sid,age,AA,EL,RR,video,gender,parent_ed,condition,types,types2,tokens,tokens2,TTR,TTR2,MTLD,MTLD2
29,101416_07,-0.602283104783333,-0.506062610229277,0.0310846560846558,0.580687830687831,a_recoger,F,-1.25211318124804,exp,81,81.0,281,281.0,0.288256227758007,0.28825622775800713,15.200292397660801,15.200292397660817
30,110416_03,0.29908675821666697,0.118937389770723,0.281084656084656,-1.04431216931217,orchestra,M,0.8943665580343171,con,61,61.0,123,133.0,0.4959349593495929,0.45864661654135336,36.4583333333333,20.400300225168877
31,092216_04,-0.591324200783333,,,,ruidos,F,-1.25211318124804,con,31,31.0,95,95.0,0.32631578947368395,0.3263157894736842,11.4351851851852,11.435185185185185
32,121516_02,0.674429224216667,0.868937389770723,0.281084656084656,-1.04431216931217,mis_jugetes,M,0.8943665580343171,exp,114,112.0,371,371.0,0.30727762803234493,0.3018867924528302,25.4346221032828,23.79650630808851
33,110416_06,-0.44337899578333295,0.618937389770723,0.15608465608465602,-0.29431216931216897,a_recoger,F,0.8943665580343171,con,60,59.0,261,261.0,0.22988505747126398,0.2260536398467433,12.0598354525056,12.05983545250561
34,092216_01,-0.309132419783333,,,,ruidos,F,0.8943665580343171,con,49,49.0,92,100.0,0.532608695652174,0.49,14.7386759581882,10.291275167785233
35,120416_01,-0.0899543377833334,-0.0060626102292769,0.5310846560846559,0.205687830687831,classificando,F,-0.53661993482059,con,89,89.0,276,279.0,0.322463768115942,0.31899641577060933,21.1822958605163,21.93929118999882
36,101416_02,-0.295433789783333,0.618937389770723,0.406084656084656,-0.419312169312169,ruidos,F,0.8943665580343171,exp,71,68.0,179,193.0,0.39664804469273707,0.35233160621761656,20.7332097032879,11.986989759123034
37,102816_01,-0.363926940783333,0.118937389770723,0.281084656084656,1.3306878306878303,ruidos,F,-1.9676064276754999,con,49,49.0,111,111.0,0.44144144144144104,0.44144144144144143,21.2539772727273,21.253977272727273
38,012017_03,0.238812785216667,-0.25606261022927695,0.15608465608465602,1.2056878306878303,mis_jugetes,F,-0.53661993482059,con,59,59.0,181,181.0,0.325966850828729,0.3259668508287293,17.0605374077977,17.060537407797682
39,042416_01,-0.43789954378333296,-0.25606261022927695,-0.343915343915344,-0.169312169312169,ruidos,F,0.8943665580343171,exp,83,83.0,188,188.0,0.441489361702128,0.44148936170212766,21.7125,21.7125
